lemma	bin_tag	mim_tag	freq	rank	ind	pre_kw_orig	kw_orig	post_kw_orig	pre_kw	kw	post_kw	ipa_sd	full_cat	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce	manual_en	manual_zh	full_cat_zh
vera	so	s	1083582	1	469289	Það	er	mín afstaða í þessu máli.	Hundurinn 	er	svartur.	vɛːra	Sagnorð	v.	1K	er	ert	er	var	varst	var	verið																			vera.mp3	be; stay	（be动词）是，就是	动词
og	st	c	953690	2	495371	Svarendur skiptust jafnt eftir kyni	og	landshlutum.	Ég borðaði fisk	og	kartöflur.	ɔːɣ	Samtenging	conj.	1K								og																		og.mp3	and	和，也	连词
í	fs	a	810646	4	495295	Þetta kemur fram	í	Fréttablaðinu í dag.	Maðurinn er	í	sundi.	iː	Forsetning	prep.	1K								í																		í.mp3	in; to	在…里面；在…之内	介词
á	fs	a	631754	7	495274	Staða Milestone hefur versnað verulega	á	undanförnum mánuðum.	Glasið er	á	borðinu.	auː	Forsetning	prep.	1K								á																		á.mp3	on; onto; in; into	在…上	介词
að	nhm	cn	540429	9	495459	Þessi maður á	að	segja af sér.	Ég er 	að	labba.	aːð	Nafnháttarmerki	inf.	1K								að																		að.mp3	to (infinitive marker)	to（不定式标记）	动词不定式标记
það	pfn	fp	495194	10	403786	Hún vildi ekki gera	það	.	Ég veit	það	ekki.	θaːð	Fornafn	pers.pron.	1K									það	því	þess	þau	þau	þeim	þeirra											það.mp3	it; that	它，这，那	代词
sem	st	ct	432605	11.5	495372	Kreppan	sem	nú herji á heiminn sé ekki bara mál Íslendinga.	Ég hitti konu	sem	var glöð.	sɛːm	Samtenging	conj.	1K								sem																		sem.mp3	as; that	作为；那	连词
að	st	c	356326	13	495350	Þannig	að	það er mín afstaða í þessu máli.	Hann segir mér	að	maturinn sé góður.	aːð	Samtenging	conj.	1K								að																		að.mp3	that	引导名词性从句或状语从句的连词	连词
ég	pfn	fp	351942	14.5	403780		Ég	er búin að bíða svona svolítið.		Ég	hleyp hratt.	jɛːɣ	Fornafn	pers.pron.	1K									mig	mér	mín	við	okkur	okkur	okkar											ég.mp3	I	我	代词
hafa	so	s	333588	16	478745	Alþingismönnum og ráðherrum	hefur	verið boðað til fundarins.	Ég 	hef 	hitt hana oft.	haːva	Sagnorð	v.	1K	hef	hefur	hefur	hafði	hafðir	hafði	haft																			hafa.mp3	have	有；（助动词）已经，曾经	动词
til	fs	a	304370	17.5	495332	Fólk er hvatt	til	að vera á verði við matarinnkaupin.	Við hlökkum 	til	sumarsins.	tʰɪːl	Forsetning	prep.	1K								til																		til.mp3	to, towards	去，朝向	介词
hann	pfn	fp	285303	19	403784		Hann	var með 45 milljónir í laun.		Hann	mætti í morgun.	han	Fornafn	pers.pron.	1K									hann	honum	hans	þeir	þá	þeim	þeirra											hann.mp3	he	他	代词
um	fs	a	272090	20.5	495334	Við fjöllum nánar	um	þetta í fréttum okkar klukkan hálf sjö.	Við tölum	um	þetta á morgun.	ʏm	Forsetning	prep.	1K								um																		um.mp3	about; during; approximately	关于；期间；大约	介词
en	st	c	224841	22	495359	Mest er atvinnuleysi á höfuðborgarsvæðinu	en	þar eru tæplega 8.800 skráðir.	Vinkona mín drakk kaffi	en	ég drakk te.	ɛn	Samtenging	conj.	1K								en																		en.mp3	but	但是，可是	连词
við	fs	a	209457	24	495347	Hann hefur sett sig í samband	við	lögfræðing vegna málsins.	Tréð stendur	við	húsið.	vɪːð	Forsetning	prep.	1K								við																		við.mp3	with; alongside	在…旁边，沿着…的边	介词
ekki	ao	a	209020	26	496738	Kreppan er	ekki	bara mál Íslendinga.	Við hittumst	ekki 	í gær.	ɛhcɪ	Atviksorð	adv.	1K								ekki																		ekki.mp3	not	不，没	副词
þessi	fn	fa	200719	27	478813		Þessi	maður á að segja af sér.		Þessi	dagur verður góður.	θɛsɪ	Fornafn	pron.	1K																þessir -- þessar -- þessi	þessi  --  þessi -- þetta									þessi.mp3	this	这	代词
með	fs	a	189194	29	495300	Þeir komust þó upp	með	hjálp nálægra manna.	Börnin gengu	með	kennaranum.	mɛːð	Forsetning	prep.	1K								með																		með.mp3	with; among	和；之中	介词
fyrir	fs	a	169606	32	495283		Fyrir	mistök komst heitt vatn í samband við ammoníak.	Hún kaupir mat	fyrir 	mig.	fɪːrɪr	Forsetning	prep.	1K								fyrir																		fyrir.mp3	before; for; in the way of	在…以前；为了	介词
hún	pfn	fp	158461	34.5	403785		Hún	á von á barni.		Hún	gekk út.	huːn	Fornafn	pers.pron.	1K									hana	henni	hennar	þær	þær	þeim	þeirra											hún.mp3	she	她	代词
af	fs	a	152917	36.5	495267	Forsetinn segir þetta gefa ranga mynd	af	samtali sínu.	Vatnið rennur	af 	þakinu.	aːf	Forsetning	prep.	1K								af																		af.mp3	off, from; because of	从…来；因为，由于	介词
að	fs	a	147651	38.5	495266	Sá eldur varð minnst 21	að	bana.	Við hlæjum	að	brandaranum.	aːð	Forsetning	prep.	1K								að																		að.mp3	towards; in, during	朝，向	介词
sá	fn	fa	147013	40	478812		Sú	hugmynd hefur verið kynnt ráðherrum ríkisstjórnar.		Sá	hestur er góður.	sauː	Fornafn	pron.	1K																þeir -- þær -- þau	sá  --  sú -- það									sá.mp3	that one	那个	代词
verða	so	s	140153	41	434440	Upplýsingarnar	verða	notaðar til að móta ýmsar aðgerðir ríkisstjórnarinnar.	Þú	verður	ekki hrædd.	vɛrða	Sagnorð	v.	1K	verð	verður	verður	varð	varðst	varð	orðið																			verða.mp3	become; have to	成为；将要	动词
koma	so	s	123103	42	434272	Þetta	kemur	fram í Fréttablaðinu í dag.	Pakkinn	kemur	á morgun.	kʰɔːma	Sagnorð	v.	1K	kem	kemur	kemur	kom	komst	kom	komið																			koma.mp3	come	来	动词
allur	fn	fo	113770	43	478757	Við erum	öll	á sama báti.	Við ferðumst	allan	daginn.	atlʏr	Fornafn	pron.	1K																allir -- allar -- öll	allur  --  öll -- allt									allur.mp3	all; complete	全部；完全的	代词
segja	so	s	105000	44	436219	Forsetinn	segir	þetta gefa ranga mynd af samtali sínu.	Ég	segi 	þeim fréttirnar.	seija	Sagnorð	v.	1K	segi	segir	segir	sagði	sagðir	sagði	sagt																			segja.mp3	say; tell	说；告诉	动词
